decade,name,gender,total_count,rank
1910,Mary,F,478634,1
1910,Helen,F,248150,2
1910,Dorothy,F,207465,3
1910,Margaret,F,189228,4
1910,Ruth,F,173654,5
1910,John,M,376321,1
1910,William,M,303027,2
1910,James,M,275075,3
1910,Robert,M,239180,4
1910,Joseph,M,179288,5
1920,Mary,F,701709,1
1920,Dorothy,F,368841,2
1920,Helen,F,290385,3
1920,Betty,F,283073,4
1920,Margaret,F,244991,5
1920,Robert,M,576322,1
1920,John,M,564033,2
1920,James,M,515296,3
1920,William,M,512373,4
1920,Charles,M,298017,5
1930,Mary,F,572868,1
1930,Betty,F,300327,2
1930,Barbara,F,296357,3
1930,Shirley,F,229334,4
1930,Patricia,F,220543,5
1930,Robert,M,590599,1
1930,James,M,547275,2
1930,John,M,487777,3
1930,William,M,416559,4
1930,Richard,M,330377,5
1940,Mary,F,639971,1
1940,Linda,F,531587,2
1940,Barbara,F,425218,3
1940,Patricia,F,411377,4
1940,Carol,F,292296,5
1940,James,M,795557,1
1940,Robert,M,757894,2
1940,John,M,711411,3
1940,William,M,556286,4
1940,Richard,M,477322,5
1950,Mary,F,625464,1
1950,Linda,F,564204,2
1950,Patricia,F,459530,3
1950,Susan,F,437662,4
1950,Deborah,F,430459,5
1950,James,M,843189,1
1950,Michael,M,836913,2
1950,Robert,M,829819,3
1950,John,M,797331,4
1950,David,M,769391,5
1960,Lisa,F,496967,1
1960,Mary,F,355210,2
1960,Susan,F,287653,3
1960,Karen,F,286034,4
1960,Kimberly,F,259080,5
1960,Michael,M,833395,1
1960,David,M,734176,2
1960,John,M,713636,3
1960,James,M,684985,4
1960,Robert,M,650985,5
1970,Jennifer,F,581756,1
1970,Amy,F,268998,2
1970,Melissa,F,253279,3
1970,Michelle,F,249131,4
1970,Kimberly,F,229105,5
1970,Michael,M,707704,1
1970,Christopher,M,475681,2
1970,Jason,M,462926,3
1970,David,M,445967,4
1970,James,M,444959,5
1980,Jessica,F,469415,1
1980,Jennifer,F,440818,2
1980,Amanda,F,369679,3
1980,Ashley,F,352122,4
1980,Sarah,F,272522,5
1980,Michael,M,663445,1
1980,Christopher,M,554725,2
1980,Matthew,M,458831,3
1980,Joshua,M,396511,4
1980,David,M,383527,5
1990,Jessica,F,303053,1
1990,Ashley,F,301773,2
1990,Emily,F,237206,3
1990,Sarah,F,224191,4
1990,Samantha,F,223979,5
1990,Michael,M,462265,1
1990,Christopher,M,360170,2
1990,Matthew,M,351569,3
1990,Joshua,M,329072,4
1990,Jacob,M,298219,5
2000,Emily,F,223565,1
2000,Madison,F,193052,2
2000,Emma,F,181126,3
2000,Olivia,F,155923,4
2000,Hannah,F,155591,5
2000,Jacob,M,273591,1
2000,Michael,M,250318,2
2000,Joshua,M,231729,3
2000,Matthew,M,221369,4
2000,Daniel,M,203529,5
2010,Sophia,F,85720,1
2010,Isabella,F,79238,2
2010,Emma,F,77736,3
2010,Olivia,F,69799,4
2010,Ava,F,61501,5
2010,Jacob,M,79359,1
2010,Mason,M,70808,2
2010,Noah,M,68605,3
2010,Ethan,M,68389,4
2010,William,M,67635,5
